node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.839223,160.777089,0.326395,0.0
1,7,99999.839223,160.777089,0.262499,0.0
1,16,99999.79902,200.979777,0.630498,0.0
2,4,99999.758834,241.165634,0.563502,0.0
2,7,99999.799029,200.971362,0.3829,0.0
2,12,99999.839223,160.777089,0.627756,0.0
2,13,99999.758834,241.165634,0.543475,0.0
2,18,24999.799029,200.971362,0.788689,0.0
2,23,24999.758834,241.165634,0.65577,0.0
3,10,99999.839223,160.777089,0.659585,0.0
3,11,24999.79902,200.979777,0.470996,0.0
3,14,1549.839223,160.777089,0.596166,0.0
3,21,99999.79902,200.979777,0.608444,0.0
4,16,99999.79902,200.979777,0.72062,0.0
5,8,24999.799029,200.971362,0.0,0.0
5,16,24999.79902,200.979777,0.825167,0.0
6,7,1549.839223,160.777089,0.444531,0.0
6,19,1549.839223,160.777089,0.643015,0.0
7,17,99999.799029,200.971362,0.0,0.0
7,19,24999.839223,160.777089,0.562906,0.0
7,21,99999.839223,160.777089,0.790477,0.0
8,9,24999.758824,241.175732,0.0,0.0
9,15,24999.758824,241.175732,0.73123,0.0
9,16,99999.79902,200.979777,0.41163,0.0
10,11,24999.79902,200.979777,0.435114,0.0
10,12,99999.799029,200.971362,0.707626,0.0
10,16,99999.758824,241.175732,0.635862,0.0
10,17,99999.799029,200.971362,0.0,0.0
12,22,99999.799029,200.971362,0.42665,0.0
13,14,1549.839223,160.777089,0.575542,0.0
13,17,99999.799029,200.971362,0.0,0.0
13,19,24999.839223,160.777089,0.504971,0.0
15,20,24999.799029,200.971362,0.667691,0.0
17,20,99999.799029,200.971362,0.113487,0.0
17,23,24999.799029,200.971362,0.0,0.0
18,21,24999.79902,200.979777,0.597954,0.0
20,22,24999.799029,200.971362,0.484943,0.0
