node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.84191,158.089749,1.237512,0.0
1,7,99999.84191,158.089749,1.17898,0.0
1,16,99999.84191,158.089749,1.364231,0.0
2,4,99999.84191,158.089749,0.975847,0.0
2,7,99999.84191,158.089749,1.479268,0.0
2,12,99999.84191,158.089749,1.476765,0.0
2,13,99999.84191,158.089749,1.087308,0.0
2,18,24999.802388,197.612186,1.410246,0.0
2,23,24999.84191,158.089749,1.834631,0.0
3,10,99999.841917,158.083241,1.71864,0.0
3,11,24999.802388,197.612186,0.888228,0.0
3,14,1549.84191,158.089749,1.398563,0.0
3,21,99999.841917,158.083241,1.2573,0.0
4,16,99999.84191,158.089749,1.147866,0.0
5,8,24999.802404,197.595916,1.040101,0.0
5,16,24999.841917,158.083241,1.304865,0.0
6,7,1549.84191,158.089749,0.789165,0.0
6,19,1549.802388,197.612186,0.710011,0.0
7,17,99999.84191,158.089749,0.685334,0.0
7,19,24999.84191,158.089749,1.130462,0.0
7,21,99999.841917,158.083241,1.468539,0.0
8,9,24999.841917,158.083241,1.312613,0.0
9,15,24999.841917,158.083241,1.727462,0.0
9,16,99999.84191,158.089749,1.133919,0.0
10,11,24999.802396,197.604051,1.455307,0.0
10,12,99999.841917,158.083241,1.368761,0.0
10,16,99999.841917,158.083241,1.523256,0.0
10,17,99999.802396,197.604051,0.829339,0.0
12,22,99999.841917,158.083241,1.892805,0.0
13,14,1549.84191,158.089749,1.034021,0.0
13,17,99999.802388,197.612186,0.546217,0.0
13,19,24999.84191,158.089749,25.182962,0.0
15,20,24999.802396,197.604051,1.381159,0.0
17,20,99999.802388,197.612186,1.364946,0.0
17,23,24999.84191,158.089749,1.01757,0.0
18,21,24999.802396,197.604051,2.687573,0.0
20,22,24999.841917,158.083241,1.598597,0.0
