node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.84146,158.540112,1.165867,0.0
1,7,99999.801825,198.17514,1.273513,0.0
1,16,99999.84146,158.540112,1.312137,0.0
2,4,99999.84144,158.559749,1.132965,0.0
2,7,99999.84144,158.559749,0.955224,0.0
2,12,99999.84144,158.559749,2.23577,0.0
2,13,99999.84144,158.559749,0.917315,0.0
2,18,24999.84144,158.559749,1.847148,0.0
2,23,24999.84144,158.559749,0.0,0.0
3,10,99999.84144,158.559749,1.254797,0.0
3,11,24999.841447,158.553202,1.349926,0.0
3,14,1549.84146,158.540112,1.249552,0.0
3,21,99999.84144,158.559749,1.333594,0.0
4,16,99999.84144,158.559749,0.505447,0.0
5,8,24999.84144,158.559749,1.570821,0.0
5,16,24999.84144,158.559749,1.428962,0.0
6,7,1549.84146,158.540112,1.421928,0.0
6,19,1549.84146,158.540112,1.453876,0.0
7,17,99999.84144,158.559749,1.299024,0.0
7,19,24999.84144,158.559749,1.909733,0.0
7,21,99999.8018,198.199686,0.91207,0.0
8,9,24999.8018,198.199686,1.221299,0.0
9,15,24999.8018,198.199686,0.481963,0.0
9,16,99999.8018,198.199686,1.182318,0.0
10,11,24999.841447,158.553202,1.468301,0.0
10,12,99999.84144,158.559749,1.084208,0.0
10,16,99999.84144,158.559749,1.359224,0.0
10,17,99999.841434,158.566297,1.450777,0.0
12,22,99999.801808,198.191503,0.587344,0.0
13,14,1549.84146,158.540112,1.756072,0.0
13,17,99999.84144,158.559749,1.23024,0.0
13,19,24999.84144,158.559749,1.316547,0.0
15,20,24999.841447,158.553202,1.34325,0.0
17,20,99999.841447,158.553202,1.281977,0.0
17,23,24999.8018,198.199686,0.0,0.0
18,21,24999.84144,158.559749,1.551032,0.0
20,22,24999.841447,158.553202,1.285434,0.0
