node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.856201,143.798682,1.603246,0.0
1,7,99999.856217,143.782531,1.341343,0.0
1,16,99999.820252,179.748352,1.134276,0.0
2,4,99999.856217,143.782531,1.296639,0.0
2,7,99999.856217,143.782531,1.348257,0.0
2,12,99999.856212,143.787914,0.574827,0.0
2,13,99999.856217,143.782531,0.825524,0.0
2,18,24999.856201,143.798682,3.245234,0.0
2,23,24999.856217,143.782531,1.326442,0.0
3,10,99999.856201,143.798682,1.196742,0.0
3,11,24999.820252,179.748352,1.587868,0.0
3,14,1549.856201,143.798682,0.645638,0.0
3,21,99999.856201,143.798682,4.041314,0.0
4,16,99999.820272,179.728163,1.155138,0.0
5,8,24999.856212,143.787916,1.670718,0.0
5,16,24999.856196,143.804067,1.159072,0.0
6,7,1549.820272,179.728163,2.011299,0.0
6,19,1549.820252,179.748352,0.988364,0.0
7,17,99999.856217,143.782531,1.188517,0.0
7,19,24999.820272,179.728163,1.314402,0.0
7,21,99999.856217,143.782531,1.57547,0.0
8,9,24999.856217,143.782531,1.247764,0.0
9,15,24999.820272,179.728163,1.788497,0.0
9,16,99999.820252,179.748352,1.289964,0.0
10,11,24999.820252,179.748352,1.773238,0.0
10,12,99999.856212,143.787914,1.234412,0.0
10,16,99999.856196,143.804067,1.182199,0.0
10,17,99999.856201,143.798682,1.170039,0.0
12,22,99999.856212,143.787914,1.799107,0.0
13,14,1549.820272,179.728163,0.77033,0.0
13,17,99999.856217,143.782531,1.113772,0.0
13,19,24999.820272,179.728163,1.269698,0.0
15,20,24999.856212,143.787916,1.651883,0.0
17,20,99999.856196,143.804067,1.509309,0.0
17,23,24999.856217,143.782531,1.268983,0.0
18,21,24999.856201,143.798682,1.713276,0.0
20,22,24999.856196,143.804067,1.408696,0.0
