node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.844585,155.415251,1.467347,0.0
1,7,99999.805731,194.269064,1.696825,0.0
1,16,99999.844591,155.408961,1.437783,0.0
2,4,99999.844578,155.421541,2.07746,0.0
2,7,99999.844578,155.421541,2.181411,0.0
2,12,99999.844591,155.408961,2.146363,0.0
2,13,99999.844591,155.408961,1.660228,0.0
2,18,24999.844585,155.41525,2.404332,0.0
2,23,24999.844585,155.415251,1.750469,0.0
3,10,99999.844572,155.427831,1.746893,0.0
3,11,24999.844578,155.421541,1.217008,0.0
3,14,1549.844578,155.421541,1.288414,0.0
3,21,99999.844578,155.421541,1.045108,0.0
4,16,99999.805723,194.276926,1.123548,0.0
5,8,24999.844578,155.421541,1.407385,0.0
5,16,24999.844585,155.41525,0.588536,0.0
6,7,1549.805739,194.261201,1.633406,0.0
6,19,1549.844597,155.402671,1.268268,0.0
7,17,99999.805731,194.269063,1.728296,0.0
7,19,24999.805739,194.261201,1.803637,0.0
7,21,99999.844585,155.41525,1.594186,0.0
8,9,24999.844578,155.421541,1.15788,0.0
9,15,24999.844578,155.421541,1.239538,0.0
9,16,99999.844585,155.41525,1.201391,0.0
10,11,24999.844578,155.421541,1.238585,0.0
10,12,99999.844578,155.421541,1.460314,0.0
10,16,99999.844578,155.421541,1.287103,0.0
10,17,99999.844578,155.421541,1.464367,0.0
12,22,99999.844585,155.41525,1.894832,0.0
13,14,1549.844585,155.41525,1.244307,0.0
13,17,99999.844585,155.41525,1.567483,0.0
13,19,24999.844591,155.408961,1.074314,0.0
15,20,24999.844578,155.421541,1.077771,0.0
17,20,99999.844585,155.41525,1.285195,0.0
17,23,24999.844578,155.421541,2.368689,0.0
18,21,24999.844585,155.41525,1.592636,0.0
20,22,24999.844585,155.41525,1.450062,0.0
