node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.842216,157.784444,1.132131,0.0
1,7,99999.802737,197.262979,0.975013,0.0
1,16,99999.842196,157.803897,1.135826,0.0
2,4,99999.802713,197.2873,1.179576,0.0
2,7,99999.84217,157.82984,1.215219,0.0
2,12,99999.842177,157.823353,0.989556,0.0
2,13,99999.802713,197.2873,1.088977,0.0
2,18,24999.84217,157.82984,1.392603,0.0
2,23,24999.84217,157.82984,1.145244,0.0
3,10,99999.842222,157.77796,1.585364,0.0
3,11,24999.842196,157.8039,2.342343,0.0
3,14,1549.842216,157.784444,1.250029,0.0
3,21,99999.842203,157.797414,1.102924,0.0
4,16,99999.796145,203.855165,1.455188,0.0
5,8,24999.842183,157.816867,1.36137,0.0
5,16,24999.842183,157.816867,0.670314,0.0
6,7,1549.802737,197.262979,1.066208,0.0
6,19,1549.84219,157.810383,1.558304,0.0
7,17,99999.802713,197.2873,1.278043,0.0
7,19,24999.802713,197.2873,1.08552,0.0
7,21,99999.842177,157.823353,1.308322,0.0
8,9,24999.842177,157.823353,1.301408,0.0
9,15,24999.756679,243.321003,1.213789,0.0
9,16,99999.842177,157.823353,1.565337,0.0
10,11,24999.842196,157.8039,0.962496,0.0
10,12,99999.842203,157.797414,0.786185,0.0
10,16,99999.842203,157.797414,1.515865,0.0
10,17,99999.842196,157.8039,1.588821,0.0
12,22,99999.802721,197.279191,1.187801,0.0
13,14,1549.84219,157.810383,0.769496,0.0
13,17,99999.84217,157.82984,1.224518,0.0
13,19,24999.84217,157.82984,1.538038,0.0
15,20,24999.84217,157.82984,1.312733,0.0
17,20,99999.84217,157.82984,1.447797,0.0
17,23,24999.802713,197.2873,1.039982,0.0
18,21,24999.842177,157.823353,0.529885,0.0
20,22,24999.796136,203.863543,1.945257,0.0
