node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.822341,177.659338,1.380682,0.0
1,7,99999.857873,142.127471,1.309514,0.0
1,16,99999.857878,142.12221,1.522183,0.0
2,4,99999.857873,142.127471,1.625657,0.0
2,7,99999.857873,142.127471,1.250863,0.0
2,12,99999.857878,142.12221,1.204491,0.0
2,13,99999.857878,142.12221,1.382232,0.0
2,18,24999.857878,142.12221,1.528502,0.0
2,23,24999.857873,142.127471,1.063228,0.0
3,10,99999.822347,177.652763,1.622796,0.0
3,11,24999.857878,142.12221,1.570463,0.0
3,14,1549.822341,177.659338,1.908422,0.0
3,21,99999.822347,177.652763,1.58155,0.0
4,16,99999.857878,142.12221,1.402974,0.0
5,8,24999.857883,142.11695,1.171827,0.0
5,16,24999.857883,142.11695,1.504898,0.0
6,7,1549.857878,142.12221,1.256108,0.0
6,19,1549.857883,142.11695,1.453161,0.0
7,17,99999.857878,142.12221,1.251698,0.0
7,19,24999.857878,142.12221,1.698017,0.0
7,21,99999.857878,142.12221,1.356721,0.0
8,9,24999.822347,177.652763,1.654863,0.0
9,15,24999.857878,142.12221,1.544118,0.0
9,16,99999.857878,142.12221,1.774549,0.0
10,11,24999.857883,142.11695,1.616836,0.0
10,12,99999.857883,142.11695,1.05691,0.0
10,16,99999.822354,177.646188,1.469612,0.0
10,17,99999.857883,142.11695,1.23322,0.0
12,22,99999.857883,142.11695,0.29242,0.0
13,14,1549.857878,142.12221,1.805186,0.0
13,17,99999.857883,142.11695,1.464009,0.0
13,19,24999.857883,142.11695,1.553416,0.0
15,20,24999.857883,142.11695,1.479745,0.0
17,20,99999.857883,142.11695,1.176476,0.0
17,23,24999.857878,142.12221,1.563787,0.0
18,21,24999.857883,142.11695,1.355767,0.0
20,22,24999.857883,142.11695,1.057625,0.0
