node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.840882,159.118222,1.129031,0.0
1,7,99999.840862,159.138002,1.318336,0.0
1,16,99999.880646,119.353502,1.903653,0.0
2,4,99999.840862,159.138002,1.667142,0.0
2,7,99999.840862,159.138002,2.003908,0.0
2,12,99999.840862,159.138002,0.657678,0.0
2,13,99999.840869,159.131408,1.138568,0.0
2,18,24999.840862,159.138002,1.499295,0.0
2,23,24999.840862,159.138002,0.923514,0.0
3,10,99999.880681,119.318888,1.854777,0.0
3,11,24999.840882,159.118222,1.088977,0.0
3,14,1549.840882,159.118222,0.994205,0.0
3,21,99999.840888,159.111628,0.982642,0.0
4,16,99999.880646,119.353502,1.785159,0.0
5,8,24999.840875,159.124814,1.904011,0.0
5,16,24999.880651,119.348556,1.690984,0.0
6,7,1549.840869,159.131408,1.495481,0.0
6,19,1549.840875,159.124814,0.595927,0.0
7,17,99999.840869,159.131408,1.332998,0.0
7,19,24999.880651,119.348556,0.865698,0.0
7,21,99999.840869,159.131408,0.664949,0.0
8,9,24999.840869,159.131408,1.336694,0.0
9,15,24999.840869,159.131408,1.73223,0.0
9,16,99999.880646,119.353502,1.270294,0.0
10,11,24999.840888,159.111631,1.719713,0.0
10,12,99999.840888,159.111631,1.568675,0.0
10,16,99999.880666,119.333723,2.066612,0.0
10,17,99999.840895,159.105037,0.934601,0.0
12,22,99999.840869,159.131408,1.461387,0.0
13,14,1549.840869,159.131408,1.326442,0.0
13,17,99999.840875,159.124814,1.909971,0.0
13,19,24999.880656,119.34361,0.414371,0.0
15,20,24999.840869,159.131408,0.568151,0.0
17,20,99999.840869,159.131408,1.038909,0.0
17,23,24999.840869,159.131408,0.836849,0.0
18,21,24999.840869,159.131408,1.798749,0.0
20,22,24999.840869,159.131408,0.608206,0.0
