node1,node2,free_bw,used_bw,delay,pkloss
1,3,99767.485442,232514.558316,0.723004,0.0
1,7,99732.1752,267824.799959,1.044989,0.0
1,16,99976.232933,23767.066952,1.643896,0.0
2,4,99694.874815,305125.185063,1.619339,0.0
2,7,98484.984575,1515015.425141,2.293587,0.0
2,12,96521.23902,3478760.980424,2.062321,0.0
2,13,99363.369771,636630.229331,1.789689,0.0
2,18,24812.493502,187506.497779,1.747727,0.0
2,23,23651.679553,1348320.447442,0.875473,0.0
3,10,99993.571047,6428.953332,1.069188,0.0
3,11,24766.509623,233490.376707,1.784921,0.0
3,14,1548.870867,1129.133081,2.14076,0.0
3,21,99997.819378,2180.621813,1.526833,0.0
4,16,99706.6557,293344.300049,1.369476,0.0
5,8,24953.722652,46277.348248,0.319362,0.0
5,16,24952.719197,47280.802764,1.274467,0.0
6,7,1547.86478,2135.219608,1.497746,0.0
6,19,1548.825416,1174.583592,0.0,0.0
7,17,99045.781872,954218.127982,2.066493,0.0
7,19,24946.896977,53103.022915,0.69654,0.0
7,21,98995.851291,1004148.708669,1.601338,0.0
8,9,24997.809418,2190.581949,0.951409,0.0
9,15,24745.372012,254627.987672,2.324224,0.0
9,16,99731.107875,268892.124658,1.721382,0.0
10,11,24769.43282,230567.180339,1.631379,0.0
10,12,99989.00366,10996.339727,0.963211,0.0
10,16,99992.914333,7085.667296,1.674771,0.0
10,17,99756.657845,243342.155058,0.496387,0.0
12,22,95989.259418,4010740.582333,1.490593,0.0
13,14,1545.880732,4119.267949,2.069235,0.0
13,17,99782.550668,217449.331654,0.767112,0.0
13,19,24997.836966,2163.033643,0.679731,0.0
15,20,24744.892252,255107.747985,2.219915,0.0
17,20,99704.204639,295795.361079,3.563166,0.0
17,23,23584.090146,1415909.853594,1.102567,0.0
18,21,24556.690245,443309.754894,2.068281,0.0
20,22,24999.802591,197.409007,1.857638,0.0
