node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.81869,181.309969,1.344323,0.0
1,7,99999.818697,181.303118,1.260519,0.0
1,16,99999.818711,181.289421,0.890374,0.0
2,4,99999.854958,145.042495,1.292348,0.0
2,7,99999.854958,145.042495,1.547098,0.0
2,12,99999.854968,145.031537,1.733899,0.0
2,13,99999.854952,145.047975,1.407623,0.0
2,18,24999.818717,181.282574,1.244545,0.0
2,23,24999.854958,145.042495,0.98002,0.0
3,10,99999.85493,145.06989,1.117945,0.0
3,11,24999.818683,181.316816,1.100779,0.0
3,14,1549.81869,181.309969,1.482725,0.0
3,21,99999.818683,181.316816,1.199245,0.0
4,16,99999.81869,181.309966,1.320004,0.0
5,8,24999.818704,181.296268,1.228213,0.0
5,16,24999.818704,181.296268,0.984788,0.0
6,7,1549.818697,181.303118,1.209497,0.0
6,19,1549.854968,145.031537,1.216531,0.0
7,17,99999.818683,181.316816,1.216292,0.0
7,19,24999.818697,181.303118,0.88799,0.0
7,21,99999.854952,145.047972,1.628757,0.0
8,9,24999.854968,145.031537,1.351953,0.0
9,15,24999.854952,145.047975,1.481891,0.0
9,16,99999.854968,145.031537,1.321435,0.0
10,11,24999.854947,145.053453,0.809908,0.0
10,12,99999.818683,181.316816,1.238704,0.0
10,16,99999.854947,145.053453,0.742435,0.0
10,17,99999.854947,145.053453,0.617862,0.0
12,22,99999.854963,145.037015,1.916289,0.0
13,14,1549.818683,181.316816,1.008749,0.0
13,17,99999.818683,181.316816,1.146436,0.0
13,19,24999.818683,181.316816,1.644254,0.0
15,20,24999.81869,181.309969,1.451969,0.0
17,20,99999.854963,145.037015,1.270533,0.0
17,23,24999.854952,145.047972,1.033306,0.0
18,21,24999.818711,181.289421,1.09899,0.0
20,22,24999.854968,145.031537,1.939535,0.0
