node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.817698,182.301557,1.016021,0.0
1,7,99999.854153,145.846785,1.282096,0.0
1,16,99999.817698,182.301557,1.604676,0.0
2,4,99999.854159,145.841246,0.962138,0.0
2,7,99999.854153,145.846785,0.8322,0.0
2,12,99999.854159,145.841246,1.441479,0.0
2,13,99999.854159,145.841246,1.410604,0.0
2,18,24999.817692,182.308481,1.364946,0.0
2,23,24999.854153,145.846785,0.940919,0.0
3,10,99999.854159,145.841246,1.383305,0.0
3,11,24999.817698,182.301557,0.902414,0.0
3,14,1549.817698,182.301557,0.721455,0.0
3,21,99999.817698,182.301557,1.274943,0.0
4,16,99999.817698,182.301557,1.207232,0.0
5,8,24999.817698,182.301557,1.155734,0.0
5,16,24999.817698,182.301557,0.726819,0.0
6,7,1549.817692,182.308481,0.374913,0.0
6,19,1549.854159,145.841246,1.163483,0.0
7,17,99999.817698,182.301557,1.224756,0.0
7,19,24999.817698,182.301557,1.165748,0.0
7,21,99999.854153,145.846785,1.442194,0.0
8,9,24999.854159,145.841246,1.670718,0.0
9,15,24999.854159,145.841246,1.478076,0.0
9,16,99999.854159,145.841246,1.814961,0.0
10,11,24999.854159,145.841246,1.239896,0.0
10,12,99999.817698,182.301557,1.776457,0.0
10,16,99999.854159,145.841246,1.341581,0.0
10,17,99999.854159,145.841246,1.428962,0.0
12,22,99999.854159,145.841246,1.635194,0.0
13,14,1549.817698,182.301557,1.531363,0.0
13,17,99999.817698,182.301557,1.895905,0.0
13,19,24999.817698,182.301557,1.699567,0.0
15,20,24999.817698,182.301557,1.414657,0.0
17,20,99999.817698,182.301557,1.668453,0.0
17,23,24999.854153,145.846785,1.527429,0.0
18,21,24999.817692,182.308481,0.608206,0.0
20,22,24999.854159,145.841246,1.362801,0.0
