node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.84071,159.289833,1.043677,0.0
1,7,99999.880523,119.477289,1.577139,0.0
1,16,99999.84069,159.309663,0.585318,0.0
2,4,99999.880503,119.497117,0.919104,0.0
2,7,99999.880508,119.492158,1.685023,0.0
2,12,99999.880503,119.497117,1.685023,0.0
2,13,99999.880508,119.492158,0.681639,0.0
2,18,24999.840677,159.322878,0.323057,0.0
2,23,24999.880508,119.492158,1.492858,0.0
3,10,99999.840704,159.296441,0.831604,0.0
3,11,24999.84069,159.309659,1.109004,0.0
3,14,1549.840704,159.296441,0.531316,0.0
3,21,99999.840684,159.31627,0.557184,0.0
4,16,99999.840664,159.3361,0.911832,0.0
5,8,24999.840664,159.3361,2.070069,0.0
5,16,24999.840664,159.3361,0.758767,0.0
6,7,1549.840697,159.303052,1.137614,0.0
6,19,1549.880538,119.462419,0.581861,0.0
7,17,99999.840677,159.322878,1.382232,0.0
7,19,24999.840697,159.303052,1.598358,0.0
7,21,99999.880503,119.497117,1.940489,0.0
8,9,24999.840671,159.329489,1.60706,0.0
9,15,24999.840677,159.322878,1.790047,0.0
9,16,99999.840671,159.329489,2.007127,0.0
10,11,24999.84069,159.309659,1.355767,0.0
10,12,99999.840684,159.31627,1.712084,0.0
10,16,99999.840684,159.31627,0.435352,0.0
10,17,99999.84069,159.309659,1.197696,0.0
12,22,99999.880498,119.502075,2.341747,0.0
13,14,1549.84069,159.309659,2.087355,0.0
13,17,99999.840677,159.322878,1.36745,0.0
13,19,24999.840697,159.303052,0.815272,0.0
15,20,24999.840671,159.329489,1.706481,0.0
17,20,99999.840671,159.329489,1.58298,0.0
17,23,24999.840677,159.322878,1.57547,0.0
18,21,24999.840671,159.329489,0.472665,0.0
20,22,24999.880498,119.502075,1.738667,0.0
