node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.815873,184.126741,1.149654,0.0
1,7,99999.852693,147.307043,1.914501,0.0
1,16,99999.815873,184.126741,1.134872,0.0
2,4,99999.852704,147.295742,1.567006,0.0
2,7,99999.81588,184.119678,1.991153,0.0
2,12,99999.852704,147.295742,2.129793,0.0
2,13,99999.852699,147.301393,1.57094,0.0
2,18,24999.81588,184.119678,1.705766,0.0
2,23,24999.852704,147.295742,1.53935,0.0
3,10,99999.81588,184.119678,1.409769,0.0
3,11,24999.81588,184.119678,1.398325,0.0
3,14,1549.815873,184.126741,1.396418,0.0
3,21,99999.81588,184.119678,1.071095,0.0
4,16,99999.852704,147.295742,1.32966,0.0
5,8,24999.81588,184.119678,0.955343,0.0
5,16,24999.81588,184.119678,1.332283,0.0
6,7,1549.852693,147.307043,1.958847,0.0
6,19,1549.815866,184.133804,1.200199,0.0
7,17,99999.852693,147.307043,1.804709,0.0
7,19,24999.852693,147.307043,1.599193,0.0
7,21,99999.852699,147.301393,1.13523,0.0
8,9,24999.852704,147.295742,2.198458,0.0
9,15,24999.852699,147.301393,2.133965,0.0
9,16,99999.852704,147.295742,4.336357,0.0
10,11,24999.81588,184.119678,1.404405,0.0
10,12,99999.81588,184.119678,1.25885,0.0
10,16,99999.81588,184.119678,1.222968,0.0
10,17,99999.815873,184.126741,1.418114,0.0
12,22,99999.852704,147.295742,1.418591,0.0
13,14,1549.815866,184.133804,1.327872,0.0
13,17,99999.815866,184.133804,1.275778,0.0
13,19,24999.815866,184.133804,1.141667,0.0
15,20,24999.815873,184.126741,1.274824,0.0
17,20,99999.815873,184.126741,1.544118,0.0
17,23,24999.852699,147.301393,1.824856,0.0
18,21,24999.81588,184.119678,1.079321,0.0
20,22,24999.852704,147.295742,1.950979,0.0
