node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.805707,194.292654,2.15888,0.0
1,7,99999.805707,194.292654,1.245499,0.0
1,16,99999.805707,194.292654,0.69952,0.0
2,4,99999.805699,194.300518,0.199199,0.0
2,7,99999.805707,194.292654,0.0,0.0
2,12,99999.84456,155.440415,1.117945,0.0
2,13,99999.805699,194.300518,0.0,0.0
2,18,24999.84456,155.440415,0.863552,0.0
2,23,24999.805699,194.300518,0.421643,0.0
3,10,99999.805707,194.292654,1.942992,0.0
3,11,24999.766839,233.160622,1.246572,0.0
3,14,1549.805707,194.292654,2.014399,0.0
3,21,99999.766849,233.151184,1.13821,0.0
4,16,99999.805707,194.292654,0.92423,0.0
5,8,24999.805699,194.300518,0.825644,0.0
5,16,24999.805707,194.292654,0.381112,0.0
6,7,1549.805715,194.284789,0.375628,0.0
6,19,1549.844566,155.434123,0.969648,0.0
7,17,99999.805715,194.284789,0.148892,0.0
7,19,24999.844566,155.434123,1.244783,0.0
7,21,99999.766849,233.151184,0.372648,0.0
8,9,24999.805699,194.300518,0.776052,0.0
9,15,24999.82513,174.870466,0.633478,0.0
9,16,99999.805707,194.292654,1.294494,0.0
10,11,24999.766839,233.160622,1.713991,0.0
10,12,99999.84456,155.440415,0.802755,0.0
10,16,99999.805707,194.292654,0.023007,0.0
10,17,99999.805707,194.292654,0.924706,0.0
12,22,99999.84456,155.440415,1.262069,0.0
13,14,1549.84456,155.440415,1.755714,0.0
13,17,99999.805707,194.292654,0.448227,0.0
13,19,24999.84456,155.440415,1.572967,0.0
15,20,24999.805699,194.300518,0.736594,0.0
17,20,99999.844566,155.434123,1.205325,0.0
17,23,24999.805707,194.292654,0.565052,0.0
18,21,24999.766839,233.160622,1.303315,0.0
20,22,24999.84456,155.440415,1.547456,0.0
