node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.800474,199.526129,2.525687,0.0
1,7,99999.800449,199.55101,2.510428,0.0
1,16,99999.800457,199.542715,1.396418,0.0
2,4,99999.840359,159.640808,1.528025,0.0
2,7,99999.840359,159.640808,1.631379,0.0
2,12,99999.840366,159.634172,1.448274,0.0
2,13,99999.840359,159.640808,1.849532,0.0
2,18,24999.840359,159.640808,1.32525,0.0
2,23,24999.840359,159.640808,1.455307,0.0
3,10,99999.840406,159.594365,1.62375,0.0
3,11,24999.800474,199.526129,0.916362,0.0
3,14,1549.820449,179.551122,1.605153,0.003061
3,21,99999.800482,199.517833,1.465321,0.0
4,16,99999.800457,199.542715,1.018167,0.0
5,8,24999.800466,199.53442,0.895858,0.0
5,16,24999.800466,199.53442,0.270367,0.0
6,7,1549.800449,199.55101,1.604915,0.0
6,19,1549.840359,159.640808,0.774145,0.0
7,17,99999.800449,199.55101,1.133204,0.0
7,19,24999.800449,199.55101,0.232935,0.0
7,21,99999.840366,159.634172,1.240492,0.0
8,9,24999.800457,199.542715,0.856042,0.0
9,15,24999.800457,199.542715,0.645041,0.0
9,16,99999.800457,199.542715,0.420332,0.0
10,11,24999.840386,159.61427,1.089931,0.0
10,12,99999.80049,199.509542,1.240134,0.0
10,16,99999.840392,159.607634,1.377463,0.0
10,17,99999.840386,159.61427,1.143098,0.0
12,22,99999.840372,159.627536,1.665354,0.0
13,14,1549.800474,199.526129,1.821637,0.0
13,17,99999.800449,199.55101,1.127124,0.0
13,19,24999.800449,199.55101,0.74017,0.0
15,20,24999.840372,159.627536,1.633763,0.0
17,20,99999.840366,159.634172,0.959277,0.0
17,23,24999.800449,199.55101,0.809312,0.0
18,21,24999.800457,199.542715,0.741005,0.0
20,22,24999.840372,159.627536,1.378298,0.0
