node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.85417,145.830169,1.330018,0.0
1,7,99999.817712,182.287711,1.271605,0.0
1,16,99999.85417,145.830169,1.21069,0.0
2,4,99999.817712,182.287711,2.022505,0.0
2,7,99999.85417,145.830169,2.080679,0.0
2,12,99999.817712,182.287711,1.967072,0.0
2,13,99999.817719,182.280789,1.838684,0.0
2,18,24999.817712,182.287711,1.850247,0.0
2,23,24999.817712,182.287711,1.449823,0.0
3,10,99999.854164,145.835707,1.047611,0.0
3,11,24999.817712,182.287711,0.912786,0.0
3,14,1549.85417,145.830169,0.670433,0.0
3,21,99999.85417,145.830169,1.071095,0.0
4,16,99999.85417,145.830169,1.295567,0.0
5,8,24999.854175,145.824631,1.455188,0.0
5,16,24999.85417,145.830169,1.300693,0.0
6,7,1549.817712,182.287711,1.252532,0.0
6,19,1549.817712,182.287711,1.221061,0.0
7,17,99999.85417,145.830169,1.178622,0.0
7,19,24999.85417,145.830169,1.448631,0.0
7,21,99999.817712,182.287711,1.076341,0.0
8,9,24999.85417,145.830169,0.289202,0.0
9,15,24999.817719,182.280789,0.250816,0.0
9,16,99999.854164,145.835707,0.486732,0.0
10,11,24999.817705,182.294634,1.122713,0.0
10,12,99999.817712,182.287711,0.524998,0.0
10,16,99999.854159,145.841246,1.060128,0.0
10,17,99999.85417,145.830169,0.914812,0.0
12,22,99999.817712,182.287711,1.481891,0.0
13,14,1549.854175,145.824631,1.167178,0.0
13,17,99999.854175,145.824631,0.801086,0.0
13,19,24999.854175,145.824631,1.180768,0.0
15,20,24999.817719,182.280789,1.446843,0.0
17,20,99999.85417,145.830169,0.976443,0.0
17,23,24999.85417,145.830169,1.117229,0.0
18,21,24999.817712,182.287711,1.107574,0.0
20,22,24999.817712,182.287711,0.838161,0.0
