node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.8418,158.200472,0.157356,0.0
1,7,99999.84178,158.220025,1.143694,0.0
1,16,99999.84178,158.220025,1.407743,0.0
2,4,99999.84178,158.220025,1.284599,0.0
2,7,99999.84178,158.220025,1.293421,0.0
2,12,99999.84178,158.220025,1.359344,0.0
2,13,99999.841773,158.226544,1.387358,0.0
2,18,24999.84178,158.220025,0.981092,0.0
2,23,24999.84178,158.220025,1.318812,0.0
3,10,99999.841813,158.187436,0.765562,0.0
3,11,24999.8418,158.200472,0.0,0.0
3,14,1549.8418,158.200472,0.390291,0.0
3,21,99999.8418,158.200472,2.268553,0.0
4,16,99999.84178,158.220025,0.641823,0.0
5,8,24999.841773,158.226544,2.466321,0.0
5,16,24999.84178,158.220025,2.08354,0.0
6,7,1549.881335,118.665019,1.101255,0.0
6,19,1549.84178,158.220025,1.40214,0.0
7,17,99999.841773,158.226544,0.69809,0.0
7,19,24999.84178,158.220025,0.878572,0.0
7,21,99999.84178,158.220025,0.984073,0.0
8,9,24999.841773,158.226544,0.766993,0.0
9,15,24999.841773,158.226544,1.193762,0.0
9,16,99999.84178,158.220025,0.672221,0.0
10,11,24999.841793,158.206989,1.23024,0.0
10,12,99999.841793,158.206989,0.649452,0.0
10,16,99999.841793,158.206989,1.309037,0.0
10,17,99999.8418,158.200472,0.962377,0.0
12,22,99999.841773,158.226544,0.896096,0.0
13,14,1549.88133,118.669908,1.065612,0.0
13,17,99999.841767,158.233064,0.883222,0.0
13,19,24999.841773,158.226544,1.11568,0.0
15,20,24999.841773,158.226544,1.016855,0.0
17,20,99999.841773,158.226544,0.819206,0.0
17,23,24999.841773,158.226544,0.028372,0.0
18,21,24999.84178,158.220025,1.174927,0.0
20,22,24999.841773,158.226544,1.58155,0.0
