node1,node2,free_bw,used_bw,delay,pkloss
1,3,99905.772449,94227.550677,0.540376,0.0
1,7,99999.858297,141.702646,0.543952,0.0
1,16,99984.902764,15097.236081,0.604391,0.0
2,4,99939.987305,60012.694664,0.714779,0.0
2,7,98022.135951,1977864.049007,0.746727,0.0
2,12,97954.43374,2045566.259843,0.441313,0.0
2,13,99214.18732,785812.679903,0.633955,0.0
2,18,24902.227536,97772.464062,0.219941,0.0
2,23,24124.495092,875504.908111,0.542283,0.0
3,10,99999.858198,141.802068,0.407577,0.0
3,11,24999.822813,177.187178,0.400901,0.0
3,14,1549.858245,141.754972,0.452876,0.0
3,21,99905.772449,94227.550677,0.580072,0.0
4,16,99939.987305,60012.694664,0.555515,0.0
5,8,24999.858303,141.697417,0.432134,0.0
5,16,24954.087162,45912.838175,0.320554,0.0
6,7,1549.858292,141.707875,0.578046,0.0
6,19,1549.858292,141.707875,0.173688,0.0
7,17,98026.607621,1973392.37879,0.58639,0.0
7,19,24999.858292,141.707875,0.208855,0.0
7,21,99999.858297,141.702646,0.67091,0.0
8,9,24999.858297,141.702646,0.694633,0.0
9,15,24999.858297,141.702646,0.477195,0.0
9,16,99985.760655,14239.344645,0.307798,0.0
10,11,22944.513725,2055486.274916,0.632524,0.000228
10,12,99902.615136,97384.863763,0.678539,0.0
10,16,99984.897189,15102.810925,0.683904,0.0
10,17,98026.464806,1973535.194003,0.633717,7.1e-05
12,22,92606.071079,7393928.921104,0.515342,0.0
13,14,1549.858292,141.707875,0.388384,0.0
13,17,99999.858292,141.707875,0.673056,0.0
13,19,24999.858292,141.707875,0.046372,0.0
15,20,24999.822865,177.134844,0.473022,0.0
17,20,99999.858297,141.702646,0.237465,0.0
17,23,24887.251928,112748.072038,0.659466,0.0
18,21,24902.231144,97768.856089,0.520468,0.0
20,22,24999.858292,141.707875,0.305772,0.0
