node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.812865,187.134504,1.829267,0.0
1,7,99999.850292,149.707603,1.550674,0.0
1,16,99999.812851,187.149095,10.745645,0.0
2,4,99999.850292,149.707602,1.282692,0.0
2,7,99999.850292,149.707602,1.533031,0.0
2,12,99999.850292,149.707602,1.199722,0.0
2,13,99999.850298,149.701766,1.267433,0.0
2,18,24999.850292,149.707602,1.519442,0.0
2,23,24999.850292,149.707602,1.321554,0.0
3,10,99999.812873,187.127208,1.07038,0.0
3,11,24999.850298,149.701766,0.595808,0.0
3,14,1549.812865,187.134504,0.813365,0.0
3,21,99999.812865,187.134504,1.291752,0.0
4,16,99999.850287,149.713439,1.643896,0.0
5,8,24999.812873,187.127208,1.062036,0.0
5,16,24999.812858,187.141799,0.544667,0.0
6,7,1549.850298,149.701766,1.369834,0.0
6,19,1549.850292,149.707602,1.291156,0.0
7,17,99999.812873,187.127208,1.624107,0.0
7,19,24999.850298,149.701766,1.517534,0.0
7,21,99999.850292,149.707603,1.475215,0.0
8,9,24999.812873,187.127208,0.562072,0.0
9,15,24999.850298,149.701766,1.315832,0.0
9,16,99999.812858,187.141799,0.269055,0.0
10,11,24999.850292,149.707602,1.23179,0.0
10,12,99999.850292,149.707602,0.355005,0.0
10,16,99999.812858,187.141799,0.880718,0.0
10,17,99999.812865,187.134503,0.62573,0.0
12,22,99999.850292,149.707602,0.708699,0.0
13,14,1549.850292,149.707603,1.230597,0.0
13,17,99999.812873,187.127208,0.898957,0.0
13,19,24999.850298,149.701766,1.363635,0.0
15,20,24999.850298,149.701766,0.985265,0.0
17,20,99999.812865,187.134503,2.416492,0.0
17,23,24999.812865,187.134503,1.04773,0.0
18,21,24999.850287,149.713439,1.551986,0.0
20,22,24999.812865,187.134503,0.793576,0.0
