node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.76265,237.349596,1.268864,0.0
1,7,99999.76265,237.349596,0.922322,0.0
1,16,99999.802209,197.79133,0.0,0.0
2,4,99999.841773,158.226544,0.0,0.0
2,7,99999.841773,158.226544,0.0,0.0
2,12,99999.841773,158.226544,1.265883,0.0
2,13,99999.802217,197.783181,0.0,0.0
2,18,24999.841773,158.226544,0.049233,0.0
2,23,24999.84178,158.220025,0.0,0.0
3,10,99999.76266,237.339817,0.552177,0.0
3,11,24999.76265,237.349596,0.738382,0.0
3,14,1549.76265,237.349596,0.419497,0.0
3,21,99999.76265,237.349596,0.670314,0.0
4,16,99999.802209,197.79133,0.0,0.0
5,8,24999.841767,158.233064,0.0,0.0
5,16,24999.841767,158.233064,0.093341,0.0
6,7,1549.76266,237.339817,0.979066,0.0
6,19,1549.802217,197.783181,1.098394,0.0
7,17,99999.841767,158.233064,1.117587,0.0
7,19,24999.802209,197.79133,1.170158,0.0
7,21,99999.76265,237.349596,0.326157,0.0
8,9,24999.841767,158.233064,0.0,0.0
9,15,24999.841767,158.233064,0.768065,0.0
9,16,99999.841767,158.233064,0.380158,0.0
10,11,24999.76266,237.339817,0.549078,0.0
10,12,99999.841773,158.226544,0.122428,0.0
10,16,99999.802217,197.783181,0.0,0.0
10,17,99999.841773,158.226544,0.847459,0.0
12,22,99999.841767,158.233064,0.707984,0.0
13,14,1549.76265,237.349596,0.633955,0.0
13,17,99999.802209,197.79133,0.0,0.0
13,19,24999.802209,197.79133,0.890851,0.0
15,20,24999.841767,158.233064,1.377106,0.0
17,20,99999.841767,158.233064,0.854015,0.0
17,23,24999.841773,158.226544,0.646472,0.0
18,21,24999.76265,237.349596,1.285553,0.0
20,22,24999.841767,158.233064,1.639724,0.0
