node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.810074,189.926008,1.709938,0.0
1,7,99999.810082,189.918493,1.367688,0.0
1,16,99999.848053,151.946819,0.924468,0.0
2,4,99999.848065,151.934795,1.128197,0.0
2,7,99999.810082,189.918493,1.199245,0.0
2,12,99999.848059,151.940807,0.213623,0.0
2,13,99999.848059,151.940807,1.61624,0.0
2,18,24999.810074,189.926008,0.590444,0.0
2,23,24999.810082,189.918493,1.439929,0.0
3,10,99999.810074,189.926008,0.564694,0.0
3,11,24999.848053,151.946819,0.71919,0.0
3,14,1549.848053,151.946819,0.278354,0.0
3,21,99999.848059,151.940807,0.039458,0.0
4,16,99999.810074,189.926008,0.482798,0.0
5,8,24999.77208,227.920228,2.266288,0.0
5,16,24999.810066,189.933523,1.271129,0.0
6,7,1549.810074,189.926008,2.157927,0.0
6,19,1549.810066,189.933523,2.263784,0.0
7,17,99999.810082,189.918493,0.0,0.0
7,19,24999.810074,189.926008,1.100779,0.0
7,21,99999.810082,189.918493,0.0,0.0
8,9,24999.848059,151.940807,0.519156,0.0
9,15,24999.829067,170.932656,0.422597,0.000174
9,16,99999.810074,189.926008,1.587749,0.0
10,11,24999.810074,189.926008,0.837207,0.0
10,12,99999.810074,189.926008,1.584649,0.0
10,16,99999.848059,151.940807,0.876188,0.0
10,17,99999.810082,189.918493,1.736879,0.0
12,22,99999.810066,189.933523,0.954509,0.0
13,14,1549.848053,151.946819,1.06883,0.0
13,17,99999.848059,151.940807,0.0,0.0
13,19,24999.848053,151.946819,1.585603,0.0
15,20,24999.810066,189.933523,0.934362,0.0
17,20,99999.810074,189.926008,0.0,0.0
17,23,24999.810074,189.926008,0.0,0.0
18,21,24999.810074,189.926008,1.194835,0.0
20,22,24999.848053,151.946819,1.333117,0.0
