node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.851548,148.451695,1.306295,0.0
1,7,99999.814428,185.571793,1.427293,0.0
1,16,99999.851548,148.451695,1.741409,0.0
2,4,99999.814435,185.564619,1.613259,0.0
2,7,99999.814428,185.571793,1.661301,0.0
2,12,99999.814435,185.564619,1.793027,0.0
2,13,99999.814428,185.571793,1.266241,0.0
2,18,24999.851543,148.457434,1.586676,0.0
2,23,24999.814428,185.571793,1.561522,0.0
3,10,99999.851554,148.445956,1.651764,0.0
3,11,24999.851548,148.451695,1.020193,0.0
3,14,1549.851548,148.451695,1.453876,0.0
3,21,99999.851554,148.445956,1.115799,0.0
4,16,99999.814443,185.557445,1.321077,0.0
5,8,24999.851554,148.445956,1.386404,0.0
5,16,24999.851554,148.445956,1.55139,0.0
6,7,1549.814435,185.564619,0.610113,0.0
6,19,1549.851554,148.445956,1.712799,0.0
7,17,99999.814435,185.564619,1.814008,0.0
7,19,24999.814435,185.564619,1.12164,0.0
7,21,99999.814435,185.564619,1.377583,0.0
8,9,24999.814435,185.564619,1.12915,0.0
9,15,24999.814435,185.564619,1.161456,0.0
9,16,99999.814435,185.564619,3.175139,0.0
10,11,24999.851554,148.445956,1.311302,0.0
10,12,99999.814443,185.557445,1.162052,0.0
10,16,99999.851554,148.445956,1.165748,0.0
10,17,99999.851554,148.445956,1.625776,0.0
12,22,99999.814443,185.557445,1.187325,0.0
13,14,1549.851543,148.457434,1.434565,0.0
13,17,99999.851548,148.451695,2.711177,0.0
13,19,24999.851548,148.451695,1.493335,0.0
15,20,24999.851554,148.445956,1.361132,0.0
17,20,99999.851554,148.445956,1.264691,0.0
17,23,24999.814435,185.564619,2.761245,0.0
18,21,24999.851548,148.451695,1.483798,0.0
20,22,24999.851554,148.445956,1.245379,0.0
