node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.787923,212.076583,1.345754,0.0
1,7,99999.858616,141.384389,1.307607,0.0
1,16,99999.82327,176.730486,1.395345,0.0
2,4,99999.858616,141.384389,1.392007,0.0
2,7,99999.858616,141.384389,1.795888,0.0
2,12,99999.85861,141.389595,0.621915,0.0
2,13,99999.858616,141.384389,1.331449,0.0
2,18,24999.858616,141.384389,1.763701,0.0
2,23,24999.858616,141.384389,1.433492,0.0
3,10,99999.823256,176.743501,1.027822,0.0
3,11,24999.85861,141.389595,1.283884,0.0
3,14,1549.82327,176.730486,1.182914,0.0
3,21,99999.82327,176.730486,0.80049,0.0
4,16,99999.823263,176.736994,1.997471,0.0
5,8,24999.85861,141.389595,1.237273,0.0
5,16,24999.858616,141.384389,1.49703,0.0
6,7,1549.858616,141.384389,1.541495,0.0
6,19,1549.858616,141.384389,1.753926,0.0
7,17,99999.858616,141.384389,1.219749,0.0
7,19,24999.858616,141.384389,1.378655,0.0
7,21,99999.858616,141.384389,1.343966,0.0
8,9,24999.787916,212.084392,1.406193,0.0
9,15,24999.858605,141.394801,1.469493,0.0
9,16,99999.82327,176.730486,1.309395,0.0
10,11,24999.858605,141.394801,1.115799,0.0
10,12,99999.858605,141.394801,0.187516,0.0
10,16,99999.823256,176.743501,1.018047,0.0
10,17,99999.85861,141.389595,0.82016,0.0
12,22,99999.85861,141.389595,0.717521,0.0
13,14,1549.858616,141.384389,1.136541,0.0
13,17,99999.858616,141.384389,1.0463,0.0
13,19,24999.858616,141.384389,1.185656,0.0
15,20,24999.85861,141.389595,1.425147,0.0
17,20,99999.85861,141.389595,1.265287,0.0
17,23,24999.858616,141.384389,1.142502,0.0
18,21,24999.858616,141.384389,1.62077,0.0
20,22,24999.85861,141.389595,1.552701,0.0
