node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.79995,200.050013,0.51558,0.0
1,7,99999.799958,200.041676,0.420094,0.0
1,16,99999.839973,160.026672,2.031565,0.0
2,4,99999.839973,160.026671,0.376463,0.0
2,7,99999.839973,160.026671,0.675559,0.0
2,12,99999.839973,160.026671,0.596881,0.0
2,13,99999.839973,160.026671,0.243545,0.0
2,18,24999.799967,200.033339,0.467658,0.0
2,23,24999.839973,160.026671,0.712037,0.0
3,10,99999.79995,200.050013,0.41461,0.0
3,11,24999.839973,160.026672,1.113176,0.0
3,14,1549.79995,200.050013,0.483036,0.0
3,21,99999.839973,160.026672,0.632763,0.0
4,16,99999.83998,160.020003,0.55337,0.0
5,8,24999.799975,200.025003,0.69046,0.0
5,16,24999.799983,200.016668,0.701904,0.0
6,7,1549.75994,240.060015,0.396848,0.0
6,19,1549.8,200.000013,0.602603,0.0
7,17,99999.799958,200.041676,0.766158,0.0
7,19,24999.76,240.000015,0.493288,0.0
7,21,99999.839973,160.026672,0.749111,0.0
8,9,24999.83998,160.020003,0.748277,0.0
9,15,24999.83998,160.020003,0.697613,0.0
9,16,99999.839987,160.013334,1.091599,0.0
10,11,24999.839973,160.026672,0.762701,0.0
10,12,99999.839967,160.033341,0.659585,0.0
10,16,99999.839973,160.026672,1.093507,0.0
10,17,99999.799958,200.041676,0.525355,0.0
12,22,99999.799975,200.025003,0.648022,0.0
13,14,1549.799958,200.041676,0.255585,0.0
13,17,99999.839973,160.026671,0.236392,0.0
13,19,24999.800008,199.991676,0.0,0.0
15,20,24999.799975,200.025003,0.482082,0.0
17,20,99999.799975,200.025003,0.676036,0.0
17,23,24999.839973,160.026671,0.459909,0.0
18,21,24999.799975,200.025003,0.609994,0.0
20,22,24999.799983,200.016668,0.795603,0.0
