node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.759378,240.621606,0.594974,0.0
1,7,99999.759368,240.631659,0.568032,0.0
1,16,99999.839586,160.414404,0.531316,0.0
2,4,99999.839579,160.421106,1.301408,0.0
2,7,99999.839572,160.427807,0.758648,0.0
2,12,99999.839572,160.427807,0.75829,0.0
2,13,99999.839572,160.427807,0.572443,0.0
2,18,24999.839579,160.421106,1.297355,0.0
2,23,24999.839579,160.421106,0.752211,0.0
3,10,99999.759368,240.631659,54.485202,0.0
3,11,24999.839586,160.414404,0.784993,0.0
3,14,1549.759378,240.621606,1.079321,0.0
3,21,99999.839586,160.414404,0.549078,0.0
4,16,99999.839586,160.414404,0.540376,0.0
5,8,24999.839579,160.421106,0.651002,0.0
5,16,24999.839579,160.421106,1.049638,0.0
6,7,1549.759358,240.641711,0.569582,0.0
6,19,1549.759368,240.631659,0.519156,0.0
7,17,99999.839572,160.427807,0.435352,0.0
7,19,24999.759368,240.631659,0.485778,0.0
7,21,99999.839579,160.421106,0.695109,0.0
8,9,24999.839579,160.421106,0.909805,0.0
9,15,24999.839579,160.421106,0.758171,0.0
9,16,99999.839579,160.421106,0.784159,0.0
10,11,24999.839579,160.421106,0.820994,0.0
10,12,99999.839572,160.427807,0.492811,0.0
10,16,99999.839579,160.421106,0.550866,0.0
10,17,99999.839572,160.427807,0.952005,0.0
12,22,99999.799465,200.534759,0.520706,0.0
13,14,1549.759368,240.631659,0.790477,0.0
13,17,99999.839572,160.427807,1.119614,0.0
13,19,24999.759368,240.631659,0.451922,0.0
15,20,24999.839586,160.414404,2.423644,0.0
17,20,99999.839579,160.421106,0.04375,0.0
17,23,24999.839579,160.421106,0.647664,0.0
18,21,24999.839586,160.414404,0.60153,0.0
20,22,24999.839579,160.421106,0.0,0.0
