node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.844805,155.195409,27.162671,0.0
1,7,99999.805998,194.002102,1.054049,0.0
1,16,99999.806006,193.994261,0.793815,0.0
2,4,99999.805998,194.002102,0.693083,0.0
2,7,99999.805998,194.002102,2.112508,0.0
2,12,99999.806006,193.994261,1.288772,0.0
2,13,99999.805998,194.002102,1.106739,0.0
2,18,24999.805998,194.002102,0.952244,0.0
2,23,24999.805998,194.002102,0.658154,0.0
3,10,99999.806014,193.986421,1.734853,0.0
3,11,24999.844805,155.195409,1.517534,0.0
3,14,1549.806014,193.986421,0.628114,0.0
3,21,99999.806014,193.986421,0.474453,0.0
4,16,99999.844811,155.189137,1.434207,0.0
5,8,24999.806014,193.986421,1.27387,0.0
5,16,24999.806014,193.986421,1.354814,0.0
6,7,1549.844798,155.201681,1.559973,0.0
6,19,1549.806006,193.994261,2.34735,0.0
7,17,99999.844798,155.201681,1.666903,0.0
7,19,24999.844798,155.201681,1.300931,0.0
7,21,99999.806006,193.994261,0.811338,0.0
8,9,24999.844805,155.195409,1.060486,0.0
9,15,24999.844798,155.201681,0.592828,0.0
9,16,99999.844805,155.195409,1.728058,0.0
10,11,24999.806006,193.994261,0.207186,0.0
10,12,99999.844811,155.189137,1.052737,0.0
10,16,99999.806014,193.986421,1.3448,0.0
10,17,99999.806006,193.994261,1.871228,0.0
12,22,99999.806014,193.986421,0.910163,0.0
13,14,1549.844805,155.195409,1.358271,0.0
13,17,99999.844798,155.201681,1.65391,0.0
13,19,24999.844805,155.195409,1.145482,0.0
15,20,24999.806006,193.994261,0.0,0.0
17,20,99999.806006,193.994261,0.0,0.0
17,23,24999.844798,155.201681,1.524568,0.0
18,21,24999.806006,193.994261,0.79751,0.0
20,22,24999.806014,193.986421,0.0,0.0
