node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.802258,197.74244,1.50013,0.0
1,7,99999.802258,197.74244,1.383066,0.0
1,16,99999.802249,197.750587,1.400113,0.0
2,4,99999.802258,197.74244,1.96898,0.0
2,7,99999.802258,197.74244,1.695156,0.0
2,12,99999.802258,197.74244,1.837969,0.0
2,13,99999.802258,197.74244,2.754569,0.0
2,18,24999.802249,197.750587,1.577139,0.0
2,23,24999.802249,197.750587,1.965761,0.0
3,10,99999.841806,158.193952,1.180172,0.0
3,11,24999.841793,158.206987,1.596928,0.0
3,14,1549.841806,158.193952,0.92113,0.0
3,21,99999.8418,158.20047,1.644611,0.0
4,16,99999.802249,197.750587,2.232194,0.0
5,8,24999.802258,197.74244,1.839995,0.0
5,16,24999.8418,158.20047,1.78206,0.0
6,7,1549.841806,158.193952,1.514673,0.0
6,19,1549.802258,197.74244,1.636982,0.0
7,17,99999.802258,197.74244,1.459122,0.0
7,19,24999.802258,197.74244,1.587272,0.0
7,21,99999.841806,158.193952,1.069546,0.0
8,9,24999.802258,197.74244,2.071619,0.0
9,15,24999.841806,158.193952,1.372457,0.0
9,16,99999.802249,197.750587,2.087474,0.0
10,11,24999.8418,158.20047,0.657201,0.0
10,12,99999.802258,197.74244,1.407743,0.0
10,16,99999.8418,158.20047,1.953721,0.0
10,17,99999.802258,197.74244,1.254678,0.0
12,22,99999.762709,237.290929,1.551032,0.0
13,14,1549.841806,158.193952,1.633763,0.0
13,17,99999.802258,197.74244,1.918077,0.0
13,19,24999.802258,197.74244,1.004815,0.0
15,20,24999.802258,197.74244,0.95892,0.0
17,20,99999.762709,237.290929,2.180696,0.0
17,23,24999.802249,197.750587,2.012134,0.0
18,21,24999.8418,158.20047,0.0,0.0
20,22,24999.762709,237.290929,1.950383,0.0
