node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.85988,140.120416,0.715613,0.0
1,7,99999.824856,175.144129,1.56951,0.0
1,16,99999.85988,140.120416,1.258135,0.0
2,4,99999.85988,140.120416,1.253366,0.0
2,7,99999.859885,140.115303,1.607895,0.0
2,12,99999.85988,140.120416,1.352072,0.0
2,13,99999.85988,140.120416,1.149416,0.0
2,18,24999.859885,140.115303,2.027631,0.0
2,23,24999.85988,140.120416,1.193523,0.0
3,10,99999.859874,140.125529,1.628876,0.0
3,11,24999.859874,140.125529,1.270056,0.0
3,14,1549.85988,140.120416,1.869202,0.0
3,21,99999.859874,140.125529,0.840306,0.0
4,16,99999.824843,175.156911,0.495911,0.0
5,8,24999.859874,140.125529,0.813127,0.0
5,16,24999.859874,140.125529,1.196146,0.0
6,7,1549.824856,175.144129,1.978517,0.0
6,19,1549.859885,140.115303,1.657367,0.0
7,17,99999.824849,175.15052,0.742674,0.0
7,19,24999.824856,175.144129,1.020312,0.0
7,21,99999.85988,140.120416,1.086712,0.0
8,9,24999.824849,175.15052,1.209974,0.0
9,15,24999.824843,175.156911,0.962853,0.0
9,16,99999.824849,175.15052,0.893474,0.0
10,11,24999.859874,140.125529,1.30558,0.0
10,12,99999.859874,140.125529,1.483202,0.0
10,16,99999.859874,140.125529,1.375079,0.0
10,17,99999.859874,140.125529,1.130104,0.0
12,22,99999.859874,140.125529,1.450419,0.0
13,14,1549.85988,140.120416,1.618385,0.0
13,17,99999.859874,140.125529,0.573874,0.0
13,19,24999.85988,140.120416,1.724243,0.0
15,20,24999.859874,140.125529,2.187967,0.0
17,20,99999.859874,140.125529,1.518607,0.0
17,23,24999.824843,175.156911,0.631809,0.0
18,21,24999.85988,140.120416,0.842094,0.0
20,22,24999.859874,140.125529,1.731396,0.0
