src,dst,add_st,mul_st
1,2,0.0,1.0
1,3,0.0,1.0
1,4,1.0,1.3333333333333333
1,5,2.0,1.6666666666666667
1,6,0.0,1.0
1,7,0.0,1.0
1,8,0.0,1.0
1,9,0.0,1.0
1,10,1.0,1.3333333333333333
1,11,0.0,1.0
1,12,0.0,1.0
1,13,0.0,1.0
1,14,0.0,1.0
1,15,0.0,1.0
1,16,0.0,1.0
1,17,0.0,1.0
1,18,0.0,1.0
1,19,0.0,1.0
1,20,2.0,1.5
1,21,0.0,1.0
1,22,0.0,1.0
1,23,0.0,1.0
2,1,0.0,1.0
2,3,0.0,1.0
2,4,0.0,1.0
2,5,3.0,1.75
2,6,0.0,1.0
2,7,0.0,1.0
2,8,1.0,1.2
2,9,1.0,1.25
2,10,3.0,2.0
2,11,1.0,1.25
2,12,0.0,1.0
2,13,0.0,1.0
2,14,0.0,1.0
2,15,1.0,1.2
2,16,1.0,1.3333333333333333
2,17,0.0,1.0
2,18,0.0,1.0
2,19,0.0,1.0
2,20,0.0,1.0
2,21,0.0,1.0
2,22,0.0,1.0
2,23,0.0,1.0
3,1,0.0,1.0
3,2,0.0,1.0
3,4,1.0,1.25
3,5,2.0,1.5
3,6,0.0,1.0
3,7,0.0,1.0
3,8,0.0,1.0
3,9,0.0,1.0
3,10,1.0,1.5
3,11,0.0,1.0
3,12,2.0,1.6666666666666667
3,13,2.0,1.6666666666666667
3,14,0.0,1.0
3,15,0.0,1.0
3,16,0.0,1.0
3,17,1.0,1.3333333333333333
3,18,0.0,1.0
3,19,0.0,1.0
3,20,3.0,1.75
3,21,0.0,1.0
3,22,2.0,1.5
3,23,1.0,1.25
4,1,1.0,1.3333333333333333
4,2,0.0,1.0
4,3,1.0,1.25
4,5,5.0,2.6666666666666665
4,6,0.0,1.0
4,7,0.0,1.0
4,8,3.0,1.75
4,9,3.0,2.0
4,10,4.0,2.3333333333333335
4,11,2.0,1.5
4,12,0.0,1.0
4,13,0.0,1.0
4,14,0.0,1.0
4,15,3.0,1.75
4,16,3.0,2.5
4,17,0.0,1.0
4,18,0.0,1.0
4,19,0.0,1.0
4,20,0.0,1.0
4,21,0.0,1.0
4,22,0.0,1.0
4,23,0.0,1.0
5,1,2.0,1.6666666666666667
5,2,3.0,1.75
5,3,2.0,1.5
5,4,5.0,2.6666666666666665
5,6,2.0,1.4
5,7,2.0,1.5
5,8,0.0,1.0
5,9,0.0,1.0
5,10,5.0,2.6666666666666665
5,11,3.0,1.75
5,12,4.0,2.0
5,13,3.0,1.6
5,14,2.0,1.4
5,15,0.0,1.0
5,16,2.0,2.0
5,17,3.0,1.75
5,18,3.0,1.6
5,19,2.0,1.4
5,20,0.0,1.0
5,21,2.0,1.4
5,22,4.0,1.8
5,23,3.0,1.6
6,1,0.0,1.0
6,2,0.0,1.0
6,3,0.0,1.0
6,4,0.0,1.0
6,5,2.0,1.4
6,7,0.0,1.0
6,8,0.0,1.0
6,9,0.0,1.0
6,10,2.0,1.5
6,11,0.0,1.0
6,12,0.0,1.0
6,13,1.0,1.3333333333333333
6,14,1.0,1.25
6,15,1.0,1.2
6,16,0.0,1.0
6,17,0.0,1.0
6,18,0.0,1.0
6,19,0.0,1.0
6,20,2.0,1.5
6,21,0.0,1.0
6,22,0.0,1.0
6,23,0.0,1.0
7,1,0.0,1.0
7,2,0.0,1.0
7,3,0.0,1.0
7,4,0.0,1.0
7,5,2.0,1.5
7,6,0.0,1.0
7,8,0.0,1.0
7,9,0.0,1.0
7,10,2.0,1.6666666666666667
7,11,0.0,1.0
7,12,0.0,1.0
7,13,0.0,1.0
7,14,0.0,1.0
7,15,1.0,1.25
7,16,0.0,1.0
7,17,0.0,1.0
7,18,0.0,1.0
7,19,0.0,1.0
7,20,2.0,1.6666666666666667
7,21,0.0,1.0
7,22,0.0,1.0
7,23,0.0,1.0
8,1,0.0,1.0
8,2,1.0,1.2
8,3,0.0,1.0
8,4,3.0,1.75
8,5,0.0,1.0
8,6,0.0,1.0
8,7,0.0,1.0
8,9,0.0,1.0
8,10,3.0,1.75
8,11,1.0,1.2
8,12,2.0,1.4
8,13,1.0,1.1666666666666667
8,14,0.0,1.0
8,15,0.0,1.0
8,16,0.0,1.0
8,17,1.0,1.2
8,18,1.0,1.1666666666666667
8,19,0.0,1.0
8,20,0.0,1.0
8,21,0.0,1.0
8,22,3.0,1.6
8,23,1.0,1.1666666666666667
9,1,0.0,1.0
9,2,1.0,1.25
9,3,0.0,1.0
9,4,3.0,2.0
9,5,0.0,1.0
9,6,0.0,1.0
9,7,0.0,1.0
9,8,0.0,1.0
9,10,3.0,2.0
9,11,1.0,1.25
9,12,2.0,1.5
9,13,1.0,1.2
9,14,0.0,1.0
9,15,0.0,1.0
9,16,0.0,1.0
9,17,1.0,1.25
9,18,1.0,1.2
9,19,0.0,1.0
9,20,0.0,1.0
9,21,0.0,1.0
9,22,3.0,1.75
9,23,1.0,1.2
10,1,1.0,1.3333333333333333
10,2,3.0,2.0
10,3,1.0,1.5
10,4,4.0,2.3333333333333335
10,5,5.0,2.6666666666666665
10,6,2.0,1.5
10,7,2.0,1.6666666666666667
10,8,3.0,1.75
10,9,3.0,2.0
10,11,0.0,1.0
10,12,0.0,1.0
10,13,4.0,2.3333333333333335
10,14,1.0,1.3333333333333333
10,15,3.0,1.75
10,16,3.0,2.5
10,17,4.0,3.0
10,18,1.0,1.25
10,19,2.0,1.5
10,20,1.0,1.3333333333333333
10,21,1.0,1.3333333333333333
10,22,0.0,1.0
10,23,4.0,2.3333333333333335
11,1,0.0,1.0
11,2,1.0,1.25
11,3,0.0,1.0
11,4,2.0,1.5
11,5,3.0,1.75
11,6,0.0,1.0
11,7,0.0,1.0
11,8,1.0,1.2
11,9,1.0,1.25
11,10,0.0,1.0
11,12,3.0,2.0
11,13,2.0,1.5
11,14,0.0,1.0
11,15,1.0,1.2
11,16,1.0,1.3333333333333333
11,17,2.0,1.6666666666666667
11,18,0.0,1.0
11,19,0.0,1.0
11,20,4.0,2.0
11,21,0.0,1.0
11,22,3.0,1.75
11,23,2.0,1.5
12,1,0.0,1.0
12,2,0.0,1.0
12,3,2.0,1.6666666666666667
12,4,0.0,1.0
12,5,4.0,2.0
12,6,0.0,1.0
12,7,0.0,1.0
12,8,2.0,1.4
12,9,2.0,1.5
12,10,0.0,1.0
12,11,3.0,2.0
12,13,0.0,1.0
12,14,0.0,1.0
12,15,0.0,1.0
12,16,2.0,1.6666666666666667
12,17,1.0,1.3333333333333333
12,18,0.0,1.0
12,19,0.0,1.0
12,20,0.0,1.0
12,21,0.0,1.0
12,22,0.0,1.0
12,23,0.0,1.0
13,1,0.0,1.0
13,2,0.0,1.0
13,3,2.0,1.6666666666666667
13,4,0.0,1.0
13,5,3.0,1.6
13,6,1.0,1.3333333333333333
13,7,0.0,1.0
13,8,1.0,1.1666666666666667
13,9,1.0,1.2
13,10,4.0,2.3333333333333335
13,11,2.0,1.5
13,12,0.0,1.0
13,14,0.0,1.0
13,15,3.0,1.75
13,16,1.0,1.25
13,17,2.0,2.0
13,18,0.0,1.0
13,19,2.0,2.0
13,20,2.0,1.6666666666666667
13,21,0.0,1.0
13,22,0.0,1.0
13,23,0.0,1.0
14,1,0.0,1.0
14,2,0.0,1.0
14,3,0.0,1.0
14,4,0.0,1.0
14,5,2.0,1.4
14,6,1.0,1.25
14,7,0.0,1.0
14,8,0.0,1.0
14,9,0.0,1.0
14,10,1.0,1.3333333333333333
14,11,0.0,1.0
14,12,0.0,1.0
14,13,0.0,1.0
14,15,1.0,1.2
14,16,0.0,1.0
14,17,2.0,1.6666666666666667
14,18,0.0,1.0
14,19,2.0,1.6666666666666667
14,20,2.0,1.5
14,21,0.0,1.0
14,22,0.0,1.0
14,23,0.0,1.0
15,1,0.0,1.0
15,2,1.0,1.2
15,3,0.0,1.0
15,4,3.0,1.75
15,5,0.0,1.0
15,6,1.0,1.2
15,7,1.0,1.25
15,8,0.0,1.0
15,9,0.0,1.0
15,10,3.0,1.75
15,11,1.0,1.2
15,12,0.0,1.0
15,13,3.0,1.75
15,14,1.0,1.2
15,16,0.0,1.0
15,17,3.0,2.0
15,18,1.0,1.1666666666666667
15,19,1.0,1.2
15,20,0.0,1.0
15,21,1.0,1.2
