src,dst,add_st,mul_st
1,2,2.0,1.6666666666666667
1,3,0.0,1.0
1,4,3.0,2.0
1,5,7.0,3.3333333333333335
1,6,3.0,2.0
1,7,0.0,1.0
1,8,7.0,2.75
1,9,5.0,2.6666666666666665
1,10,0.0,1.0
1,11,1.0,1.3333333333333333
1,12,4.0,2.0
1,13,0.0,1.0
1,14,0.0,1.0
1,15,3.0,1.75
1,16,7.0,4.5
1,17,2.0,1.6666666666666667
1,18,2.0,1.5
1,19,2.0,1.6666666666666667
1,20,2.0,1.5
1,21,4.0,2.3333333333333335
1,22,2.0,1.4
1,23,2.0,1.5
2,1,2.0,1.6666666666666667
2,3,0.0,1.0
2,4,0.0,1.0
2,5,4.0,2.0
2,6,1.0,1.3333333333333333
2,7,0.0,1.0
2,8,4.0,1.8
2,9,2.0,1.5
2,10,2.0,1.6666666666666667
2,11,2.0,1.5
2,12,4.0,3.0
2,13,0.0,1.0
2,14,0.0,1.0
2,15,0.0,1.0
2,16,4.0,2.3333333333333335
2,17,0.0,1.0
2,18,0.0,1.0
2,19,0.0,1.0
2,20,0.0,1.0
2,21,0.0,1.0
2,22,2.0,1.6666666666666667
2,23,0.0,1.0
3,1,0.0,1.0
3,2,0.0,1.0
3,4,1.0,1.25
3,5,5.0,2.25
3,6,1.0,1.25
3,7,2.0,1.6666666666666667
3,8,5.0,2.0
3,9,3.0,1.75
3,10,0.0,1.0
3,11,1.0,1.5
3,12,4.0,2.3333333333333335
3,13,0.0,1.0
3,14,0.0,1.0
3,15,1.0,1.2
3,16,5.0,2.6666666666666665
3,17,1.0,1.3333333333333333
3,18,2.0,1.6666666666666667
3,19,0.0,1.0
3,20,1.0,1.25
3,21,4.0,3.0
3,22,2.0,1.5
3,23,1.0,1.25
4,1,3.0,2.0
4,2,0.0,1.0
4,3,1.0,1.25
4,5,0.0,1.0
4,6,1.0,1.25
4,7,0.0,1.0
4,8,0.0,1.0
4,9,0.0,1.0
4,10,3.0,2.0
4,11,3.0,1.75
4,12,4.0,2.3333333333333335
4,13,0.0,1.0
4,14,0.0,1.0
4,15,0.0,1.0
4,16,0.0,1.0
4,17,0.0,1.0
4,18,0.0,1.0
4,19,0.0,1.0
4,20,0.0,1.0
4,21,0.0,1.0
4,22,2.0,1.5
4,23,0.0,1.0
5,1,7.0,3.3333333333333335
5,2,4.0,2.0
5,3,5.0,2.25
5,4,0.0,1.0
5,6,4.0,1.8
5,7,3.0,1.75
5,8,0.0,1.0
5,9,0.0,1.0
5,10,7.0,3.3333333333333335
5,11,7.0,2.75
5,12,3.0,1.75
5,13,2.0,1.4
5,14,3.0,1.6
5,15,0.0,1.0
5,16,0.0,1.0
5,17,2.0,1.5
5,18,4.0,1.8
5,19,3.0,1.6
5,20,0.0,1.0
5,21,5.0,2.0
5,22,1.0,1.2
5,23,2.0,1.4
6,1,3.0,2.0
6,2,1.0,1.3333333333333333
6,3,1.0,1.25
6,4,1.0,1.25
6,5,4.0,1.8
6,7,1.0,1.5
6,8,4.0,1.6666666666666667
6,9,2.0,1.4
6,10,2.0,1.5
6,11,2.0,1.4
6,12,3.0,1.75
6,13,0.0,1.0
6,14,0.0,1.0
6,15,1.0,1.2
6,16,4.0,2.0
6,17,1.0,1.3333333333333333
