src,dst,add_st,mul_st
10,22,4.0,2.3333333333333335
10,23,3.0,2.0
11,1,0.0,1.0
11,2,1.0,1.25
11,3,0.0,1.0
11,4,2.0,1.5
11,5,4.0,2.0
11,6,0.0,1.0
11,7,0.0,1.0
11,8,4.0,1.8
11,9,6.0,2.5
11,10,1.0,1.5
11,12,5.0,2.6666666666666665
11,13,0.0,1.0
11,14,0.0,1.0
11,15,2.0,1.4
11,16,4.0,2.3333333333333335
11,17,2.0,1.6666666666666667
11,18,2.0,1.5
11,19,0.0,1.0
11,20,2.0,1.5
11,21,2.0,1.6666666666666667
11,22,3.0,1.75
11,23,2.0,1.5
12,1,4.0,2.0
12,2,4.0,3.0
12,3,4.0,2.3333333333333335
12,4,4.0,2.3333333333333335
12,5,5.0,2.25
12,6,2.0,1.5
12,7,2.0,1.6666666666666667
12,8,5.0,2.0
12,9,7.0,2.75
12,10,6.0,4.0
12,11,5.0,2.6666666666666665
12,13,2.0,1.6666666666666667
12,14,2.0,1.5
12,15,0.0,1.0
12,16,5.0,2.6666666666666665
12,17,1.0,1.3333333333333333
12,18,4.0,2.3333333333333335
12,19,2.0,1.5
12,20,0.0,1.0
12,21,4.0,2.0
12,22,0.0,1.0
12,23,2.0,1.6666666666666667
13,1,0.0,1.0
13,2,0.0,1.0
13,3,0.0,1.0
13,4,0.0,1.0
13,5,0.0,1.0
13,6,0.0,1.0
13,7,0.0,1.0
13,8,0.0,1.0
13,9,2.0,1.4
13,10,1.0,1.3333333333333333
13,11,0.0,1.0
13,12,2.0,1.6666666666666667
13,14,0.0,1.0
13,15,0.0,1.0
13,16,0.0,1.0
13,17,0.0,1.0
13,18,0.0,1.0
13,19,0.0,1.0
13,20,0.0,1.0
13,21,0.0,1.0
13,22,0.0,1.0
13,23,0.0,1.0
14,1,0.0,1.0
14,2,0.0,1.0
14,3,0.0,1.0
14,4,0.0,1.0
14,5,1.0,1.2
14,6,0.0,1.0
14,7,0.0,1.0
14,8,1.0,1.1666666666666667
14,9,3.0,1.6
14,10,0.0,1.0
14,11,0.0,1.0
14,12,2.0,1.5
14,13,0.0,1.0
14,15,0.0,1.0
14,16,1.0,1.25
14,17,0.0,1.0
14,18,0.0,1.0
14,19,0.0,1.0
14,20,0.0,1.0
14,21,2.0,1.6666666666666667
14,22,0.0,1.0
14,23,0.0,1.0
15,1,3.0,1.75
15,2,0.0,1.0
15,3,1.0,1.2
15,4,2.0,1.5
15,5,4.0,2.0
15,6,0.0,1.0
15,7,0.0,1.0
15,8,6.0,3.0
15,9,8.0,5.0
15,10,3.0,1.75
15,11,2.0,1.4
15,12,0.0,1.0
15,13,0.0,1.0
15,14,0.0,1.0
15,16,4.0,2.3333333333333335
15,17,0.0,1.0
15,18,0.0,1.0
15,19,0.0,1.0
15,20,0.0,1.0
15,21,2.0,1.4
15,22,0.0,1.0
15,23,0.0,1.0
16,1,5.0,3.5
16,2,0.0,1.0
16,3,3.0,2.0
16,4,0.0,1.0
16,5,0.0,1.0
16,6,2.0,1.5
16,7,3.0,2.0
16,8,0.0,1.0
16,9,2.0,2.0
16,10,5.0,3.5
16,11,4.0,2.3333333333333335
16,12,5.0,2.6666666666666665
16,13,0.0,1.0
16,14,1.0,1.25
16,15,4.0,2.3333333333333335
16,17,2.0,1.6666666666666667
16,18,0.0,1.0
16,19,1.0,1.25
16,20,2.0,1.5
16,21,1.0,1.25
